Term,Definition
Fiduciary,A person or organization that acts on behalf of another person or persons to manage assets.
Financial Planner,A qualified investment professional who helps individuals and corporations meet their long-term financial objectives.
Fiscal Year,A one-year period that companies and governments use for financial reporting and budgeting.
Fixed Income,An investment approach focused on preservation of capital and income.
Floating Interest Rate,An interest rate that moves up and down with the market or an index.
Forex Market,The market in which currencies are traded.
Free Cash Flow (FCF),The cash a company generates after accounting for cash outflows to support operations and maintain its capital assets.
Gearing,The ratio of a company's loan capital (debt) to the value of its ordinary shares (equity).
General Obligation Bond,A municipal bond backed by the credit and taxing power of the issuing jurisdiction rather than the revenue from a given project.
Going Public,The process of selling shares that were formerly privately held to new investors for the first time.
Growth Stock,A company stock that tends to increase in capital value rather than yield high income.
Hard Asset,A tangible asset such as real estate or commodities.
Hedging,Making an investment to reduce the risk of adverse price movements in an asset.
Holding Period,The amount of time an investment is held by an investor.
Impairment,A permanent reduction in the value of a company's asset.
Income Fund,"A mutual fund that primarily seeks to provide a steady income to investors, often in the form of dividends or interest."
Insolvency,A situation where an individual or organization can no longer meet its financial obligations with its lender or lenders as debts become due.
Intangible Asset,"An asset that is not physical in nature, such as patents, trademarks, and goodwill."
Interest Coverage Ratio,A debt ratio and profitability ratio used to determine how easily a company can pay interest on its outstanding debt.
Inverted Yield Curve,"A yield curve that indicates interest rates are higher for short-term bonds than long-term bonds, often seen as a predictor of recession."
J-Curve,"A type of diagram where a curve initially falls, but then rises to a higher level than before the fall."
Junk Bond,"A high-yield, high-risk security typically issued by a company seeking to raise capital quickly to finance a takeover."
Kiting,The illegal practice of writing a check for value greater than the account balance.
Laddering,"A technique that involves buying multiple financial products of the same type, such as bonds, with different maturity dates."
"Last In, First Out (LIFO)",An inventory valuation method where the latest items added to inventory are the first to be used.
Leaseback,An arrangement where the seller of an asset leases back the same asset from the purchaser.
Letter of Credit,A document issued by a bank guaranteeing that a buyer's payment to a seller will be received on time and for the correct amount.
Leverage Ratio,A financial ratio that measures the amount of debt used to finance assets.
Leveraged Buyout (LBO),The acquisition of another company using a significant amount of borrowed money to meet the cost of acquisition.
Liquidity Premium,The extra return that investors demand to compensate for the risk of an investment not being easily converted into cash.
Living Trust,A trust created by a living person to hold assets during their lifetime and to distribute the assets upon their death.
Loan-to-Value Ratio (LTV),A ratio used by lenders to express the ratio of a loan to the value of an asset purchased.
London Interbank Offered Rate (LIBOR),The benchmark rate that some of the world’s leading banks charge each other for short-term loans.
Managed Fund,An investment fund that is managed by a professional investment manager.
Margin Account,A brokerage account in which the broker lends the customer cash to purchase securities.
Marginal Tax Rate,The tax rate that applies to the last dollar of the taxable income.
Market Capitalization (Market Cap),The total dollar market value of a company's outstanding shares of stock.
Market Order,An order to buy or sell a stock at the current market price.
Market Risk,The risk of losses in positions arising from movements in market prices.
Maturity Date,"The date on which the principal amount of a note, draft, acceptance bond, or other debt instrument becomes due."
Merger,A combination of two companies to form a new company.
Microcap Stock,"A stock with a small market capitalization, typically between $50 million and $300 million."
Money Market,The part of the financial market in which financial instruments with high liquidity and short maturities are traded.
Mortgage-Backed Security (MBS),A type of asset-backed security that is secured by a collection of mortgages.
Municipal Bond,"A debt security issued by a local government or territory, or one of their agencies."
Mutual Fund,"An investment vehicle that is made up of a pool of funds collected from many investors for the purpose of investing in securities such as stocks, bonds, money market instruments, and other assets."
Net Asset Value (NAV),The value per share of a mutual fund or an ETF on a specific date or time.
